market_name,home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,match,margin
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Tyson Foerster,1.5,1.952,Pinnacle,1.8,Bet365,Philadelphia Flyers v Edmonton Oilers,-6.785063752276876
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Conor Garland,1.5,1.724,Pinnacle,2.05,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.785128176107746
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Mike Matheson,1.5,1.71,Bet365,2.07,Pinnacle,Ottawa Senators v Montreal Canadiens,-6.788710907704054
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Pierre-Luc Dubois,1.5,1.71,Bet365,2.07,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.788710907704054
Player Shots on Goal,New Jersey Devils,Dallas Stars,Mason Marchment,1.5,1.71,Bet365,2.07,Pinnacle,New Jersey Devils v Dallas Stars,-6.788710907704054
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Mark Stone,1.5,1.57,Bet365,2.32,Pinnacle,Vegas Golden Knights v Vancouver Canucks,-6.79771579178563
Player Shots on Goal,Florida Panthers,Seattle Kraken,Jared McCann,1.5,1.57,Bet365,2.32,Pinnacle,Florida Panthers v Seattle Kraken,-6.79771579178563
Player Shots on Goal,Florida Panthers,Seattle Kraken,Carter Verhaeghe,3.5,2.32,Pinnacle,1.57,Bet365,Florida Panthers v Seattle Kraken,-6.79771579178563
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,John Tavares,2.5,2.32,Pinnacle,1.57,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.79771579178563
Player Shots on Goal,Florida Panthers,Seattle Kraken,Jared McCann,1.5,1.5699999999999998,Neds,2.32,Pinnacle,Florida Panthers v Seattle Kraken,-6.797715791785652
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Mark Stone,1.5,1.5699999999999998,Neds,2.32,Pinnacle,Vegas Golden Knights v Vancouver Canucks,-6.797715791785652
Player Shots on Goal,Florida Panthers,Seattle Kraken,Carter Verhaeghe,3.5,2.32,Pinnacle,1.5699999999999998,Neds,Florida Panthers v Seattle Kraken,-6.797715791785652
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,John Tavares,2.5,2.32,Pinnacle,1.5699999999999998,Neds,Toronto Maple Leafs v Carolina Hurricanes,-6.797715791785652
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Marco Rossi,1.5,1.83,Bet365,1.917,Pinnacle,Detroit Red Wings v Minnesota Wild,-6.809649640404647
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Alex DeBrincat,2.5,1.76,Bet365,2,Bet365,Detroit Red Wings v Minnesota Wild,-6.818181818181834
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Ryan Donato,2.5,2,Bet365,1.76,Bet365,Columbus Blue Jackets v Chicago Blackhawks,-6.818181818181834
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Tyler Bertuzzi,1.5,2,Bet365,1.76,Bet365,Columbus Blue Jackets v Chicago Blackhawks,-6.818181818181834
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Brendan Gallagher,1.5,1.76,Bet365,2,Bet365,Ottawa Senators v Montreal Canadiens,-6.818181818181834
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Juraj Slafkovsky,1.5,2,Bet365,1.76,Bet365,Ottawa Senators v Montreal Canadiens,-6.818181818181834
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Elias Pettersson,1.5,1.76,Bet365,2,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.818181818181834
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Pavel Dorofeyev,2.5,1.76,Bet365,2,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.818181818181834
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Filip Forsberg,3.5,2,Bet365,1.76,Bet365,Nashville Predators v Colorado Avalanche,-6.818181818181834
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Ryan Strome,1.5,2,Bet365,1.76,Bet365,Boston Bruins v Anaheim Ducks,-6.818181818181834
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,William Nylander,2.5,1.76,Bet365,2,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.818181818181834
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Joel Eriksson Ek,2.5,1.73,Neds,2.04,Pinnacle,Detroit Red Wings v Minnesota Wild,-6.823076051229737
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Conor Garland,1.5,1.73,Neds,2.04,Pinnacle,Vegas Golden Knights v Vancouver Canucks,-6.823076051229737
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Elias Lindholm,1.5,1.5,Bet365,2.49,Pinnacle,Boston Bruins v Anaheim Ducks,-6.827309236947787
Player Shots on Goal,Buffalo Sabres,New York Rangers,Dylan Cozens,1.5,1.67,Neds,2.13,Pinnacle,Buffalo Sabres v New York Rangers,-6.828596328469816
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Connor Bedard,2.5,1.95,Bet365,1.8,Bet365,Columbus Blue Jackets v Chicago Blackhawks,-6.837606837606858
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Teuvo Teravainen,1.5,1.95,Bet365,1.8,Bet365,Columbus Blue Jackets v Chicago Blackhawks,-6.837606837606858
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Colton Parayko,1.5,1.95,Bet365,1.8,Bet365,St. Louis Blues v Winnipeg Jets,-6.837606837606858
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Nikolaj Ehlers,2.5,1.95,Bet365,1.8,Bet365,St. Louis Blues v Winnipeg Jets,-6.837606837606858
Player Shots on Goal,Los Angeles Kings,UTA Hockey Club,Mikhail Sergachev,1.5,1.95,Bet365,1.8,Bet365,Los Angeles Kings v UTA Hockey Club,-6.837606837606858
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Jake DeBrusk,1.5,1.8,Bet365,1.95,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.837606837606858
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Tyson Foerster,1.5,1.95,Bet365,1.8,Bet365,Philadelphia Flyers v Edmonton Oilers,-6.837606837606858
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Zach Hyman,2.5,1.8,Bet365,1.95,Bet365,Philadelphia Flyers v Edmonton Oilers,-6.837606837606858
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Brady Skjei,1.5,1.8,Bet365,1.95,Bet365,Nashville Predators v Colorado Avalanche,-6.837606837606858
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Jonathan Marchessault,2.5,1.8,Bet365,1.95,Bet365,Nashville Predators v Colorado Avalanche,-6.837606837606858
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Ryan O'Reilly,1.5,1.8,Bet365,1.95,Bet365,Nashville Predators v Colorado Avalanche,-6.837606837606858
Player Shots on Goal,New Jersey Devils,Dallas Stars,Stefan Noesen,1.5,1.8,Bet365,1.95,Bet365,New Jersey Devils v Dallas Stars,-6.837606837606858
Player Shots on Goal,New Jersey Devils,Dallas Stars,Timo Meier,2.5,1.95,Bet365,1.8,Bet365,New Jersey Devils v Dallas Stars,-6.837606837606858
Player Shots on Goal,New Jersey Devils,Dallas Stars,Wyatt Johnston,2.5,1.95,Bet365,1.8,Bet365,New Jersey Devils v Dallas Stars,-6.837606837606858
Player Shots on Goal,Florida Panthers,Seattle Kraken,Matthew Beniers,1.5,1.95,Bet365,1.8,Bet365,Florida Panthers v Seattle Kraken,-6.837606837606858
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Alex Killorn,1.5,1.95,Bet365,1.8,Bet365,Boston Bruins v Anaheim Ducks,-6.837606837606858
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Cutter Gauthier,1.5,1.8,Bet365,1.95,Bet365,Boston Bruins v Anaheim Ducks,-6.837606837606858
