home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Vancouver Canucks,Detroit Red Wings,Conor Garland,0.5,2.85,Bet365,1.4,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.516290726817031
Seattle Kraken,Calgary Flames,Brandon Montour,0.5,2.85,Bet365,1.4,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.516290726817031
New York Rangers,Vegas Golden Knights,Chris Kreider,0.5,3.6,Bet365,1.27,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-6.517935258092722
Vancouver Canucks,Detroit Red Wings,Filip Chytil,0.5,3.6,Bet365,1.27,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.517935258092722
Dallas Stars,Columbus Blue Jackets,Zach Werenski,0.5,2,Sportsbet,1.769,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.529112492933864
Dallas Stars,Columbus Blue Jackets,Thomas Harley,0.5,2.38,Pinnacle,1.55,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.532935754947133
Vancouver Canucks,Detroit Red Wings,Lucas Raymond,0.5,2.08,Pinnacle,1.71,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.556455240665748
Florida Panthers,New York Islanders,Matthew Tkachuk,0.5,1.96,Sportsbet,1.8,Neds,Player Assists,Florida Panthers v New York Islanders,-6.575963718820876
Florida Panthers,New York Islanders,Mathew Barzal,0.5,2.31,Pinnacle,1.58,Neds,Player Assists,Florida Panthers v New York Islanders,-6.581182530549601
Florida Panthers,New York Islanders,Aaron Ekblad,0.5,2.31,Sportsbet,1.58,Neds,Player Assists,Florida Panthers v New York Islanders,-6.581182530549601
Vancouver Canucks,Detroit Red Wings,Pius Suter,0.5,4.3,Bet365,1.2,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.589147286821717
Florida Panthers,New York Islanders,Sam Bennett,0.5,2.93,Sportsbet,1.38,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.593460948706542
Florida Panthers,New York Islanders,Gustav Forsling,0.5,3.37,Pinnacle,1.3,Neds,Player Assists,Florida Panthers v New York Islanders,-6.596667427527958
Florida Panthers,New York Islanders,Carter Verhaeghe,0.5,2.45,Bet365,1.52,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.605800214822777
Seattle Kraken,Calgary Flames,Chandler Stephenson,0.5,2.45,Bet365,1.52,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.605800214822777
Vancouver Canucks,Detroit Red Wings,Moritz Seider,0.5,2.3,Bet365,1.584,Pinnacle,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.609574000878338
Seattle Kraken,Calgary Flames,Nazem Kadri,0.5,2.63,Sportsbet,1.458,Pinnacle,Player Assists,Seattle Kraken v Calgary Flames,-6.609919312355594
Florida Panthers,New York Islanders,Bo Horvat,0.5,2.8,Bet365,1.41,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.636271529888549
UTA Hockey Club,St. Louis Blues,Justin Faulk,0.5,2.8,Bet365,1.41,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-6.636271529888549
Seattle Kraken,Calgary Flames,Kaapo Kakko,0.5,2.8,Bet365,1.41,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.636271529888549
Vancouver Canucks,Detroit Red Wings,Conor Garland,0.5,2.84,Pinnacle,1.4,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.639839034205242
New York Rangers,Vegas Golden Knights,Reilly Smith,0.5,3.7,Bet365,1.256,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-6.6448614219314805
New York Rangers,Vegas Golden Knights,Tomas Hertl,0.5,2.5,Bet365,1.5,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-6.666666666666665
UTA Hockey Club,St. Louis Blues,Pavel Buchnevich,0.5,2.5,Bet365,1.5,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-6.666666666666665
Vancouver Canucks,Detroit Red Wings,Brock Boeser,0.5,2.5,Bet365,1.5,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.666666666666665
Florida Panthers,New York Islanders,Aleksander Barkov,0.5,1.87,Neds,1.88,Neds,Player Assists,Florida Panthers v New York Islanders,-6.667425190579124
Florida Panthers,New York Islanders,Aleksander Barkov,0.5,1.85,Sportsbet,1.9,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.685633001422464
Dallas Stars,Columbus Blue Jackets,Logan Stankoven,0.5,3.5,Bet365,1.28,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.696428571428559
UTA Hockey Club,St. Louis Blues,Matias Maccelli,0.5,3.5,Bet365,1.28,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-6.696428571428559
Vancouver Canucks,Detroit Red Wings,Marco Kasper,0.5,3.5,Bet365,1.28,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.696428571428559
Seattle Kraken,Calgary Flames,Morgan Frost,0.5,3.5,Bet365,1.28,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.696428571428559
Dallas Stars,Columbus Blue Jackets,Kirill Marchenko,0.5,2.65,Pinnacle,1.45,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.70136629798308
Seattle Kraken,Calgary Flames,Oliver Bjorkstrand,0.5,2.92,Sportsbet,1.38,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.710343458407797
Seattle Kraken,Calgary Flames,Oliver Bjorkstrand,0.5,2.9,Bet365,1.384,Pinnacle,Player Assists,Seattle Kraken v Calgary Flames,-6.737093880805256
Florida Panthers,New York Islanders,Mathew Barzal,0.5,2.35,Bet365,1.558,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-6.738043864201249
Florida Panthers,New York Islanders,Bo Horvat,0.5,2.89,Sportsbet,1.386,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-6.7521482746396355
Florida Panthers,New York Islanders,Sam Reinhart,0.5,2.15,Neds,1.66,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.752591762398441
Vancouver Canucks,Detroit Red Wings,Jake DeBrusk,0.5,2.83,Sportsbet,1.4,Pinnacle,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.764260474507822
Florida Panthers,New York Islanders,Bo Horvat,0.5,2.79,Pinnacle,1.41,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.764279722412869
Florida Panthers,New York Islanders,Aaron Ekblad,0.5,2.3,Neds,1.58,Neds,Player Assists,Florida Panthers v New York Islanders,-6.769400110071544
Florida Panthers,New York Islanders,Mathew Barzal,0.5,2.3,Neds,1.58,Neds,Player Assists,Florida Panthers v New York Islanders,-6.769400110071544
Dallas Stars,Columbus Blue Jackets,Wyatt Johnston,0.5,2.22,Pinnacle,1.62,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.773440106773432
Seattle Kraken,Calgary Flames,Blake Coleman,0.5,3.11,Sportsbet,1.34,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.781206507654636
New York Rangers,Vegas Golden Knights,Vincent Trocheck,0.5,2.55,Bet365,1.48,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-6.783253842077386
Vancouver Canucks,Detroit Red Wings,Elias Pettersson,0.5,2.32,Pinnacle,1.57,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.79771579178563
New York Rangers,Vegas Golden Knights,Chris Kreider,0.5,3.45,Sportsbet,1.285,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-6.80651891952857
Utah Hockey Club,St. Louis Blues,Pavel Buchnevich,0.5,2.56,Sportsbet,1.476,Pinnacle,Player Assists,Utah Hockey Club v St. Louis Blues,-6.813177506775059
Florida Panthers,New York Islanders,Matthew Tkachuk,0.5,2,Bet365,1.76,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.818181818181834
New York Rangers,Vegas Golden Knights,Adam Fox,0.5,2,Bet365,1.76,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-6.818181818181834
New York Rangers,Vegas Golden Knights,Artemi Panarin,0.5,2,Bet365,1.76,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-6.818181818181834
