market_name,agency,match,player_name,line,over_price,under_price
Player Points,Bet365,CHI Blackhawks v WIN Jets,Alex Iafallo,0.5,1.95,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Alex Iafallo,0.5,1.95,1.8
Player Points,Bet365,CHI Blackhawks v WIN Jets,Alex Iafallo,1.5,5.75,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Alex Iafallo,2.5,17,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Alex Iafallo,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Cole Perfetti,0.5,1.76,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Cole Perfetti,0.5,1.76,2
Player Points,Bet365,CHI Blackhawks v WIN Jets,Cole Perfetti,1.5,5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Cole Perfetti,2.5,15,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Cole Perfetti,3.5,26,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Connor Bedard,0.5,1.8,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Connor Bedard,0.5,1.8,1.95
Player Points,Bet365,CHI Blackhawks v WIN Jets,Connor Bedard,1.5,5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Connor Bedard,2.5,15,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Connor Bedard,3.5,26,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Frank Nazar,0.5,2.8,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Frank Nazar,0.5,2.8,1.41
Player Points,Bet365,CHI Blackhawks v WIN Jets,Frank Nazar,1.5,11,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Frank Nazar,2.5,26,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Frank Nazar,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ilya Mikheyev,0.5,2.65,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ilya Mikheyev,0.5,2.65,1.44
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ilya Mikheyev,1.5,10,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ilya Mikheyev,2.5,26,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ilya Mikheyev,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Josh Morrissey,0.5,1.66,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Josh Morrissey,0.5,1.66,2.2
Player Points,Bet365,CHI Blackhawks v WIN Jets,Josh Morrissey,1.5,4.3,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Josh Morrissey,2.5,12,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Josh Morrissey,3.5,23,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Kyle Connor,0.5,1.34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Kyle Connor,1.5,2.65,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Kyle Connor,1.5,2.65,1.44
Player Points,Bet365,CHI Blackhawks v WIN Jets,Kyle Connor,2.5,6.5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Kyle Connor,3.5,15,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Mark Scheifele,0.5,1.4,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Mark Scheifele,0.5,1.4,2.85
Player Points,Bet365,CHI Blackhawks v WIN Jets,Mark Scheifele,1.5,2.95,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Mark Scheifele,2.5,7.5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Mark Scheifele,3.5,17,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nikolaj Ehlers,0.5,1.66,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nikolaj Ehlers,0.5,1.66,2.2
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nikolaj Ehlers,1.5,4.3,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nikolaj Ehlers,2.5,12,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nikolaj Ehlers,3.5,21,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nino Niederreiter,0.5,2.4,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nino Niederreiter,0.5,2.4,1.55
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nino Niederreiter,1.5,8.5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nino Niederreiter,2.5,19,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Nino Niederreiter,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ryan Donato,0.5,1.86,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ryan Donato,0.5,1.86,1.86
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ryan Donato,1.5,5.5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ryan Donato,2.5,16,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Ryan Donato,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Teuvo Teravainen,0.5,2.28,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Teuvo Teravainen,0.5,2.28,1.62
Player Points,Bet365,CHI Blackhawks v WIN Jets,Teuvo Teravainen,1.5,7.25,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Teuvo Teravainen,2.5,18,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Teuvo Teravainen,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Tyler Bertuzzi,0.5,2.45,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Tyler Bertuzzi,0.5,2.45,1.52
Player Points,Bet365,CHI Blackhawks v WIN Jets,Tyler Bertuzzi,1.5,9,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Tyler Bertuzzi,2.5,20,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Tyler Bertuzzi,3.5,34,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Vladislav Namestnikov,0.5,2.4,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Vladislav Namestnikov,0.5,2.4,1.55
Player Points,Bet365,CHI Blackhawks v WIN Jets,Vladislav Namestnikov,1.5,8.5,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Vladislav Namestnikov,2.5,19,NA
Player Points,Bet365,CHI Blackhawks v WIN Jets,Vladislav Namestnikov,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Barrett Hayton,0.5,2.4,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Barrett Hayton,0.5,2.4,1.55
Player Points,Bet365,DAL Stars v UTA Hockey Club,Barrett Hayton,1.5,8.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Barrett Hayton,2.5,19,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Barrett Hayton,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Clayton Keller,0.5,1.55,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Clayton Keller,0.5,1.55,2.4
Player Points,Bet365,DAL Stars v UTA Hockey Club,Clayton Keller,1.5,3.8,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Clayton Keller,2.5,10,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Clayton Keller,3.5,19,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Dylan Guenther,0.5,1.68,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Dylan Guenther,0.5,1.68,2.15
Player Points,Bet365,DAL Stars v UTA Hockey Club,Dylan Guenther,1.5,4.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Dylan Guenther,2.5,13,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Dylan Guenther,3.5,23,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jamie Benn,0.5,2.3,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jamie Benn,0.5,2.3,1.6
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jamie Benn,1.5,7.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jamie Benn,2.5,18,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jamie Benn,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jason Robertson,0.5,1.55,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jason Robertson,0.5,1.55,2.4
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jason Robertson,1.5,3.8,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jason Robertson,2.5,10,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Jason Robertson,3.5,19,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Logan Cooley,0.5,2,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Logan Cooley,0.5,2,1.76
Player Points,Bet365,DAL Stars v UTA Hockey Club,Logan Cooley,1.5,6,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Logan Cooley,2.5,17,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Logan Cooley,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mason Marchment,0.5,2.2,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mason Marchment,0.5,2.2,1.66
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mason Marchment,1.5,7,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mason Marchment,2.5,17.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mason Marchment,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Matt Duchene,0.5,1.68,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Matt Duchene,0.5,1.68,2.15
Player Points,Bet365,DAL Stars v UTA Hockey Club,Matt Duchene,1.5,4.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Matt Duchene,2.5,13,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Matt Duchene,3.5,23,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikael Granlund,0.5,1.9,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikael Granlund,0.5,1.9,1.83
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikael Granlund,1.5,5.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikael Granlund,2.5,16,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikael Granlund,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikhail Sergachev,0.5,2.28,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikhail Sergachev,0.5,2.28,1.62
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikhail Sergachev,1.5,7.25,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikhail Sergachev,2.5,18,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikhail Sergachev,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikko Rantanen,0.5,1.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikko Rantanen,0.5,1.5,2.5
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikko Rantanen,1.5,3.4,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikko Rantanen,2.5,9.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Mikko Rantanen,3.5,18,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Nick Schmaltz,0.5,1.9,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Nick Schmaltz,0.5,1.9,1.83
Player Points,Bet365,DAL Stars v UTA Hockey Club,Nick Schmaltz,1.5,5.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Nick Schmaltz,2.5,16,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Nick Schmaltz,3.5,34,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Roope Hintz,0.5,1.68,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Roope Hintz,0.5,1.68,2.15
Player Points,Bet365,DAL Stars v UTA Hockey Club,Roope Hintz,1.5,4.5,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Roope Hintz,2.5,13,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Roope Hintz,3.5,23,NA
Player Points,Bet365,DAL Stars v UTA Hockey Club,Sean Durzi,0.5,3,NA
