match,home_team,away_team,market_name,player_name,line,over_price,under_price,agency
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Brad Marchand,0.5,1.84,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,David Pastrnak,0.5,1.36,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Pavel Zacha,0.5,1.99,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Charlie Coyle,0.5,2.72,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Charlie McAvoy,0.5,2.25,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Elias Lindholm,0.5,2.34,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Morgan Geekie,0.5,2.42,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Mason Lohrei,0.5,3.14,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Adam Fox,0.5,1.68,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Alexis Lafreniere,0.5,1.83,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Artemi Panarin,0.5,1.31,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,J.T. Miller,0.5,1.49,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Mika Zibanejad,0.5,1.61,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Vincent Trocheck,0.5,1.78,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Chris Kreider,0.5,2.01,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Reilly Smith,0.5,2.27,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,David Pastrnak,1.5,2.75,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Brad Marchand,1.5,5.2,NA,Sportsbet
New York Rangers v Boston Bruins,New York Rangers,Boston Bruins,Player Points,Pavel Zacha,1.5,6,NA,Sportsbet
