id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
1605931142,Over,12,4814274411,4.63,0.5,Anthony Cirelli (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931143,Under,13,4814274412,1.138,0.5,Anthony Cirelli (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605930750,Over,14,4814271866,4.42,0.5,Tommy Novak (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930751,Under,15,4814271868,1.152,0.5,Tommy Novak (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930738,Over,14,4814271830,2.63,0.5,Jack Eichel (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930739,Under,15,4814271831,1.432,0.5,Jack Eichel (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930717,Over,14,4814271748,4.03,0.5,Ivan Barbashev (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930718,Under,15,4814271749,1.185,0.5,Ivan Barbashev (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930708,Over,14,4815086390,2.9,0.5,Tomas Hertl (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930709,Under,15,4815086391,1.37,0.5,Tomas Hertl (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930693,Over,14,4814660022,2.92,0.5,Rickard Rakell (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930694,Under,15,4814660023,1.353,0.5,Rickard Rakell (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605931064,Over,12,4814274169,4.09,0.5,Taylor Hall (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931065,Under,13,4814274170,1.179,0.5,Taylor Hall (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931034,Over,10,4814274105,3.5,0.5,Adam Fantilli (Goals),New Jersey Devils,Columbus Blue Jackets
1605931035,Under,11,4814274106,1.312,0.5,Adam Fantilli (Goals),New Jersey Devils,Columbus Blue Jackets
1605931010,Over,10,4814274031,3.51,0.5,Kirill Marchenko (Goals),New Jersey Devils,Columbus Blue Jackets
1605931011,Under,11,4814274032,1.245,0.5,Kirill Marchenko (Goals),New Jersey Devils,Columbus Blue Jackets
1605931133,Over,12,4814942481,3.3,0.5,Brandon Hagel (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931134,Under,13,4814942482,1.285,0.5,Brandon Hagel (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931121,Over,12,4814274359,2.57,0.5,Sebastian Aho (CAR) (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931122,Under,13,4814274360,1.452,0.5,Sebastian Aho (CAR) (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605930615,Over,14,4814271294,3.13,0.5,Sidney Crosby (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930616,Under,15,4814271295,1.307,0.5,Sidney Crosby (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930603,Over,14,4814271262,4.22,0.5,Evgeni Malkin (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605930604,Under,15,4814271263,1.167,0.5,Evgeni Malkin (Goals),Pittsburgh Penguins,Vegas Golden Knights
1605931109,Over,12,4815157490,2.41,0.5,Brayden Point (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931110,Under,13,4815157491,1.512,0.5,Brayden Point (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931100,Over,12,4814903274,4.8,0.5,Oliver Bjorkstrand (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931101,Under,13,4814903275,1.153,0.5,Oliver Bjorkstrand (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931104,Under,13,4814660123,1.137,0.5,Nick Paul (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931103,Over,12,4814660122,4.64,0.5,Nick Paul (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931073,Over,12,4814941893,2.85,0.5,Nikita Kucherov (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605931074,Under,13,4814941894,1.434,0.5,Nikita Kucherov (Goals),Carolina Hurricanes,Tampa Bay Lightning
1605941899,Over,18,4815149302,3.06,0.5,Matvei Michkov (Goals),Philadelphia Flyers,Ottawa Senators
1605941900,Under,19,4815149303,1.32,0.5,Matvei Michkov (Goals),Philadelphia Flyers,Ottawa Senators
1605941809,Over,18,4815149226,4.46,0.5,Fabian Zetterlund (Goals),Philadelphia Flyers,Ottawa Senators
1605941810,Under,19,4815149231,1.149,0.5,Fabian Zetterlund (Goals),Philadelphia Flyers,Ottawa Senators
1605941815,Over,18,4815236255,3.3,0.5,Dylan Cozens (Goals),Philadelphia Flyers,Ottawa Senators
1605941816,Under,19,4815236256,1.285,0.5,Dylan Cozens (Goals),Philadelphia Flyers,Ottawa Senators
1605941800,Over,18,4815149242,2.21,0.5,Brady Tkachuk (Goals),Philadelphia Flyers,Ottawa Senators
1605941801,Under,19,4815149243,1.617,0.5,Brady Tkachuk (Goals),Philadelphia Flyers,Ottawa Senators
1605941788,Over,18,4815149236,3.2,0.5,Owen Tippett (Goals),Philadelphia Flyers,Ottawa Senators
1605941789,Under,19,4815149241,1.294,0.5,Owen Tippett (Goals),Philadelphia Flyers,Ottawa Senators
1605941776,Over,18,4815149224,3.78,0.5,Drake Batherson (Goals),Philadelphia Flyers,Ottawa Senators
1605941777,Under,19,4815149229,1.21,0.5,Drake Batherson (Goals),Philadelphia Flyers,Ottawa Senators
1605941887,Over,18,4815149294,4.69,0.5,Bobby Brink (Goals),Philadelphia Flyers,Ottawa Senators
1605941888,Under,19,4815149295,1.134,0.5,Bobby Brink (Goals),Philadelphia Flyers,Ottawa Senators
1605941878,Over,18,4815149288,4.24,0.5,Shane Pinto (Goals),Philadelphia Flyers,Ottawa Senators
1605941879,Under,19,4815149289,1.166,0.5,Shane Pinto (Goals),Philadelphia Flyers,Ottawa Senators
1605941872,Over,18,4815149284,4.77,0.5,Ridly Greig (Goals),Philadelphia Flyers,Ottawa Senators
1605941873,Under,19,4815149285,1.129,0.5,Ridly Greig (Goals),Philadelphia Flyers,Ottawa Senators
1605941863,Over,18,4815149278,3.39,0.5,Tyson Foerster (Goals),Philadelphia Flyers,Ottawa Senators
1605941864,Under,19,4815149279,1.261,0.5,Tyson Foerster (Goals),Philadelphia Flyers,Ottawa Senators
1605941839,Over,18,4815149260,3.0,0.5,Tim Stutzle (Goals),Philadelphia Flyers,Ottawa Senators
1605941840,Under,19,4815149263,1.333,0.5,Tim Stutzle (Goals),Philadelphia Flyers,Ottawa Senators
1605941827,Over,18,4815149261,3.93,0.5,Noah Cates (Goals),Philadelphia Flyers,Ottawa Senators
1605941828,Under,19,4815149264,1.194,0.5,Noah Cates (Goals),Philadelphia Flyers,Ottawa Senators
1605941755,Over,18,4815149194,3.15,0.5,Travis Konecny (Goals),Philadelphia Flyers,Ottawa Senators
1605941756,Under,19,4815149195,1.303,0.5,Travis Konecny (Goals),Philadelphia Flyers,Ottawa Senators
1605941732,Under,19,4815149179,1.149,0.5,Sean Couturier (Goals),Philadelphia Flyers,Ottawa Senators
1605941731,Over,18,4815149178,4.46,0.5,Sean Couturier (Goals),Philadelphia Flyers,Ottawa Senators
1605941710,Over,18,4815149180,4.28,0.5,Claude Giroux (Goals),Philadelphia Flyers,Ottawa Senators
1605941711,Under,19,4815149181,1.162,0.5,Claude Giroux (Goals),Philadelphia Flyers,Ottawa Senators
1605931304,Over,22,4814275061,3.19,0.5,Gabriel Vilardi (Goals),Winnipeg Jets,New York Rangers
1605931305,Under,23,4814275062,1.296,0.5,Gabriel Vilardi (Goals),Winnipeg Jets,New York Rangers
1605931292,Over,22,4814946949,2.31,0.5,Kyle Connor (Goals),Winnipeg Jets,New York Rangers
1605931293,Under,23,4814946950,1.555,0.5,Kyle Connor (Goals),Winnipeg Jets,New York Rangers
1605931280,Over,22,4814274977,2.79,0.5,Artemi Panarin (Goals),Winnipeg Jets,New York Rangers
1605931281,Under,23,4814274978,1.384,0.5,Artemi Panarin (Goals),Winnipeg Jets,New York Rangers
1605931268,Over,22,4814274945,3.07,0.5,Nikolaj Ehlers (Goals),Winnipeg Jets,New York Rangers
1605931269,Under,23,4814274946,1.319,0.5,Nikolaj Ehlers (Goals),Winnipeg Jets,New York Rangers
1605931349,Over,22,4814275278,4.58,0.5,Will Cuylle (Goals),Winnipeg Jets,New York Rangers
1605931350,Under,23,4814275279,1.141,0.5,Will Cuylle (Goals),Winnipeg Jets,New York Rangers
1605931340,Over,22,4814275157,4.42,0.5,Cole Perfetti (Goals),Winnipeg Jets,New York Rangers
1605931341,Under,23,4814275158,1.152,0.5,Cole Perfetti (Goals),Winnipeg Jets,New York Rangers
1605931331,Over,22,4814660170,4.36,0.5,Alexis Lafreniere (Goals),Winnipeg Jets,New York Rangers
1605931332,Under,23,4814660171,1.156,0.5,Alexis Lafreniere (Goals),Winnipeg Jets,New York Rangers
1605931196,Over,22,4814660150,3.78,0.5,Vincent Trocheck (Goals),Winnipeg Jets,New York Rangers
1605931197,Under,23,4814660151,1.211,0.5,Vincent Trocheck (Goals),Winnipeg Jets,New York Rangers
1605931187,Over,22,4814660146,4.4,0.5,Chris Kreider (Goals),Winnipeg Jets,New York Rangers
1605931188,Under,23,4814660147,1.222,0.5,Chris Kreider (Goals),Winnipeg Jets,New York Rangers
1605931190,Over,22,4814274689,4.7,0.5,Nino Niederreiter (Goals),Winnipeg Jets,New York Rangers
1605931191,Under,23,4814274690,1.133,0.5,Nino Niederreiter (Goals),Winnipeg Jets,New York Rangers
1605931235,Over,22,4814274863,3.52,0.5,J.T. Miller (Goals),Winnipeg Jets,New York Rangers
1605931236,Under,23,4814274864,1.243,0.5,J.T. Miller (Goals),Winnipeg Jets,New York Rangers
1605931223,Over,22,4814784659,2.7,0.5,Mark Scheifele (Goals),Winnipeg Jets,New York Rangers
1605931224,Under,23,4814784660,1.416,0.5,Mark Scheifele (Goals),Winnipeg Jets,New York Rangers
1605931211,Over,22,4814274795,3.7,0.5,Mika Zibanejad (Goals),Winnipeg Jets,New York Rangers
1605931212,Under,23,4814274796,1.219,0.5,Mika Zibanejad (Goals),Winnipeg Jets,New York Rangers
